model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
M2.7-Q4XL,B_1x96t_node0,1,96,node0,ngram_dm64,0,256,26646,9.61
M2.7-Q4XL,B_1x96t_node0,1,96,node0,ngram_dm64,1,256,43916,5.83
M2.7-Q4XL,B_1x96t_node0,1,96,node0,ngram_dm64,2,256,43751,5.85
M2.7-Q4XL,C_2x96t,n0,96,node0,ngram_dm64,0,0,706,0.00
M2.7-Q4XL,C_2x96t,n1,96,node1,ngram_dm64,0,0,21,0.00
M2.7-Q4XL,C_2x96t,n0,96,node0,ngram_dm64,1,0,20,0.00
M2.7-Q4XL,C_2x96t,n1,96,node1,ngram_dm64,1,0,20,0.00
M2.7-Q4XL,C_2x96t,n0,96,node0,ngram_dm64,2,0,19,0.00
M2.7-Q4XL,C_2x96t,n1,96,node1,ngram_dm64,2,0,19,0.00
M2.7-Q4XL,D_4x48t,n0a,48,n0a,ngram_dm64,0,0,22,0.00
M2.7-Q4XL,D_4x48t,n0b,48,n0b,ngram_dm64,0,0,20,0.00
M2.7-Q4XL,D_4x48t,n1a,48,n1a,ngram_dm64,0,0,20,0.00
M2.7-Q4XL,D_4x48t,n1b,48,n1b,ngram_dm64,0,0,1650,0.00
M2.7-Q4XL,D_4x48t,n0a,48,n0a,ngram_dm64,1,0,20,0.00
M2.7-Q4XL,D_4x48t,n0b,48,n0b,ngram_dm64,1,0,20,0.00
M2.7-Q4XL,D_4x48t,n1a,48,n1a,ngram_dm64,1,0,19,0.00
M2.7-Q4XL,D_4x48t,n1b,48,n1b,ngram_dm64,1,0,18,0.00
M2.7-Q4XL,D_4x48t,n0a,48,n0a,ngram_dm64,2,0,19,0.00
M2.7-Q4XL,D_4x48t,n0b,48,n0b,ngram_dm64,2,0,20,0.00
M2.7-Q4XL,D_4x48t,n1a,48,n1a,ngram_dm64,2,0,18,0.00
M2.7-Q4XL,D_4x48t,n1b,48,n1b,ngram_dm64,2,0,18,0.00
